id,name,release_date,release_date_precision,tracks_count
2fyOpT5c9kxR8zbDh6UtXh,Save Your Tears (Remix),2021-04-23,day,1
0pMkbror5DyuBSl5yeUYTn,Shadows,2019-07-12,day,7
1yGbNOtRIgdIiGHOEBaZWf,1989 (Deluxe),2014-01-01,day,19
6DEjYFkNZh67HP7R9PSZvv,reputation,2017-11-10,day,15
7tgRgQxiiHsQWArOR057JF,Those Were The Days Remix,2010-09-20,day,1
5ON91aFwvhfeFX6DhVto5h,View From The Ground,1982-01-01,day,10
66JuK41D3LpkbX3HCTGcQk,Leave Before You Love Me,2021-05-21,day,1
3EzFY9Rg0PpbADMth746zi,Fearless (Big Machine Radio Release Special),2008-11-11,day,26
561Ly3AThHF8GOSY0tm0Al,California Dreamin,2015-09-25,day,5
3GqSdhWjmMypMwPLtzoFYs,Roses (Imanbek Remix),2019-10-09,day,1
40x7adEwGV0lV57zMUFcDh,Circle in the Sand,2018-05-04,day,2
0YOX4AhhISOQxsnt8YacX1,Ad Kolima,2020-08-21,day,1
4xD0ehh1Zsz9bSzhbOR9yp,"Stay (From ""Interstellar"") [Remastered]",2014-01-01,year,1
3JSWZWeTHF4HDGt5Eozdy7,Good Girl Gone Bad: Reloaded,2008-06-02,day,15
4yP0hdKOZPNshxUOjY0cZj,After Hours,2020-03-20,day,14
3vLaOYCNCzngDf8QdBg2V1,Uptown Special,2015-01-12,day,11
0URsHGo0BWzA5E84XG8B3m,Still Waters,1997-01-01,day,12
0D9jxLRpdhEG583Yqji2EJ,"Touching You, Touching Me",1969-12-13,day,9
3vARhx9vwOve3Xdu06vM8S,The Dark Knight (Collectors Edition) [Original Motion Picture Soundtrack],2008-07-14,day,28
3DeHyfe2Da8xznvABSfIE5,Escape,2001-01-01,day,14
0BJYNipGyMrw4ngKDJXzXZ,Gangsta's Paradise,1995-11-07,day,14
5bfpRtBW7RNRdsm3tRyl3R,Dreamland,2020-08-07,day,16
6vxRtsfDeArfdDGBkPjksF,With or Without You,2019-11-25,day,2
5STxFF2pJHNwhn7hXgTZVy,Buona Sera - Ciao Ciao,2007-04-15,day,1
4ddvFk8agFfRkkcVwR8sJH,Pocahontas Original Soundtrack (English Version),1995-01-01,day,28
4gCNyS7pidfK3rKWhB3JOY,FOUR (Deluxe),2014-11-17,day,16
0z3eL2W3UZVcBiOWwe461h,The Very Best of Chicago: Only the Beginning,2002-07-02,day,39
2Mb2HvX9H2J98qOvZGdsFf,A Very Trainor Christmas,2020-10-30,day,18
2zE1YKY7Okj10Tjl09jjth,The Reason (15th Anniversary Deluxe),2003-12-09,day,17
5iEJR01mbW2FQ3YY58VUPC,Fernando (The Matt Pop Mixes),2014-05-12,day,3
3nCQjsOzTmnWM6gnjIaT8J,No Protection,1987-07-27,day,11
23vIu4KOWTeAtAUcREvOxY,One,1989-04-17,day,11
6rNCsC5GnXrSHjNzL9BCJy,Every Breath You Take,2019-04-25,day,1
7hleBoZbfZyL2umi4JzxCL,One Love,2002-01-01,year,15
6egzU9NKfora01qaNbvwfZ,LAST CHRISTMAS,1984-11-29,day,3
