track_id,played_at,context
4HWcWgleTuUAWnVPNwW4CM,2023-02-15T02:21:53.191Z,playlist
3xgT3xIlFGqZjYW9QlhJWp,2023-02-15T02:20:17.459Z,playlist
3rWDp9tBPQR9z6U5YyRSK4,2023-02-15T02:17:30.624Z,album
70eFcWOvlMObDhURTqT4Fv,2023-02-15T02:14:37.281Z,playlist
1DIXPcTDzTj8ZMHt3PDt8p,2023-02-14T11:10:26.901Z,playlist
0ug5NqcwcFR2xrfTkc7k8e,2023-02-14T04:04:54.950Z,playlist
4U6mBgGP8FXN6UH4T3AJhu,2023-02-14T04:01:07.706Z,playlist
7ySbfLwdCwl1EM0zNCJZ38,2023-02-14T03:57:19.792Z,playlist
0vB4Vd6PtkJSEnWsmqATnZ,2023-02-14T03:52:42.759Z,playlist
3X7uFMzJrEE0sxn62qd8Ch,2023-02-14T03:48:43.949Z,playlist
2pPRaqCyeKYWmzr8izgHJN,2023-02-14T03:44:17.846Z,playlist
40riOy7x9W7GXjyGp4pjAv,2023-02-14T03:39:34.823Z,playlist
4gBS0XqthimHuv2DxR7t0p,2023-02-14T03:33:06.767Z,playlist
2WfaOiMkCvy7F5fcp2zZ8L,2023-02-14T03:29:20.967Z,playlist
5dXED6MP1v1qghkaniirb1,2023-02-14T03:25:39.712Z,playlist
5dXED6MP1v1qghkaniirb1,2023-02-14T02:28:31.169Z,playlist
4Dvkj6JhhA12EX05fT7y2e,2023-02-14T02:27:22.769Z,playlist
4h9wh7iOZ0GGn8QVp4RAOB,2023-02-14T02:24:44.104Z,playlist
0VE4kBnHJUgtMf0dy6DRmW,2023-02-14T02:22:18.788Z,playlist
0U1W2LZVUX7qTm7dDpqxh6,2023-02-13T02:21:11.962Z,
46HNZY1i7O6jwTA7Slo2PI,2023-02-13T02:19:48Z,
7MXVkk9YMctZqd1Srtv4MB,2023-02-13T02:16:05.878Z,
2JyoU2NFGjWWTaknPfXeDR,2023-02-11T13:52:19.192Z,
3fVnlF4pGqWI9flVENcT28,2023-02-11T13:51:42.790Z,
6JIC3hbC28JZKZ8AlAqX8h,2023-02-11T13:48:06.660Z,
21jGcNKet2qwijlDFuPiPb,2023-02-11T13:44:47.952Z,
0VjIjW4GlUZAMYd2vXMi3b,2023-02-11T13:41:16.991Z,
0VjIjW4GlUZAMYd2vXMi3b,2023-02-11T10:06:32.457Z,
4h9wh7iOZ0GGn8QVp4RAOB,2023-02-11T10:03:32.811Z,
2vfl8V78ai2lyCyFn1cPWx,2023-02-11T10:01:08.975Z,
3xgT3xIlFGqZjYW9QlhJWp,2023-02-11T09:51:57.604Z,
4qu63nuBpdn0qHUHuObEj1,2023-02-11T09:49:11.038Z,
1oFAF1hdPOickyHgbuRjyX,2023-02-11T09:46:39.816Z,
0ug5NqcwcFR2xrfTkc7k8e,2023-02-11T09:43:32.836Z,
37BZB0z9T8Xu7U3e65qxFy,2023-02-10T02:26:29.768Z,
0ug5NqcwcFR2xrfTkc7k8e,2023-02-10T02:24:42.167Z,
4d1CG5ei1E2vGbvmgf5KKv,2023-02-10T02:19:35.129Z,playlist
