id,name,duration_ms,explicit,popularity,type,artist_id,album_id,album_track_number,isrc_code
37BZB0z9T8Xu7U3e65qxFy,Save Your Tears (with Ariana Grande) (Remix),191013,FALSE,79,SINGLE,1Xyo4u8uXC1ZmMpatF05PJ,2fyOpT5c9kxR8zbDh6UtXh,1,USUG12101839
4o0LyB69tylqDG6eTGhmig,Fire for You,231825,FALSE,68,ALBUM,7FtCyCJCJaxabYO7Uyda5B,0pMkbror5DyuBSl5yeUYTn,2,USSM12004811
0ug5NqcwcFR2xrfTkc7k8e,Style,231000,FALSE,78,ALBUM,06HL4z0CvFAxyc27GXpf02,1yGbNOtRIgdIiGHOEBaZWf,3,USCJY1431319
0VE4kBnHJUgtMf0dy6DRmW,Getaway Car,233626,FALSE,76,ALBUM,06HL4z0CvFAxyc27GXpf02,6DEjYFkNZh67HP7R9PSZvv,9,USCJY1750010
0qjT3LeucafpUJUFDqWnGN,Those Were The Days Remix,199668,FALSE,6,SINGLE,1yTWSP7tR6gp2vkstO7VI7,7tgRgQxiiHsQWArOR057JF,1,TCAAR1077543
5dXED6MP1v1qghkaniirb1,You Can Do Magic,237466,FALSE,59,ALBUM,35U9lQaRWSQISxQAB94Meo,5ON91aFwvhfeFX6DhVto5h,1,USCA29300290
4qu63nuBpdn0qHUHuObEj1,Leave Before You Love Me (with Jonas Brothers),154983,FALSE,80,SINGLE,64KEffDW9EtZ1y2vBYgq8T,66JuK41D3LpkbX3HCTGcQk,1,USUG12102313
1D4PL9B8gOg78jiHg3FvBb,Love Story,236266,FALSE,73,ALBUM,06HL4z0CvFAxyc27GXpf02,3EzFY9Rg0PpbADMth746zi,6,USCJY0803275
0M3bL9NQrBKSgMJjPpEIOy,California Dreamin - Radio Edit,212459,FALSE,44,SINGLE,185m2EJWTIm36MdqguiU8T,561Ly3AThHF8GOSY0tm0Al,1,DEMA61500900
24Yi9hE78yPEbZ4kxyoXAI,Roses - Imanbek Remix,176840,TRUE,76,SINGLE,0H39MdGGX6dbnnQPt6NQkZ,3GqSdhWjmMypMwPLtzoFYs,1,RUB421901499
23IeeT8J5gxWgSv1IXDmLQ,Circle in the Sand - Extended Mix,316000,FALSE,4,SINGLE,6k6rMWRE4vit7gawbx9xdz,40x7adEwGV0lV57zMUFcDh,2,DEAR41829284
228KhdItMua78vrhM342UT,Ad Kolima,186115,TRUE,48,SINGLE,5JIgApvXvqq4KtnDLE9YBz,0YOX4AhhISOQxsnt8YacX1,1,QZ5FN2072251
7jIt6kO1qF47Ic0jkapXAk,"Stay (From ""Interstellar"") - Remastered",428561,FALSE,27,SINGLE,1OFThjZi3cSe14lBEBRsHZ,4xD0ehh1Zsz9bSzhbOR9yp,1,QZGWX2195304
0ByMNEPAPpOR5H69DVrTNy,Don't Stop The Music,267080,FALSE,77,ALBUM,5pKCCKE2ajJHZ9KAiaK11H,3JSWZWeTHF4HDGt5Eozdy7,3,USUM70734700
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,FALSE,87,ALBUM,1Xyo4u8uXC1ZmMpatF05PJ,4yP0hdKOZPNshxUOjY0cZj,9,USUG11904206
32OlwWuMpZ6b0aN2RZOeMS,Uptown Funk (feat. Bruno Mars),269666,TRUE,79,ALBUM,3hv9jJF3adDNsBSIQDqcjp,3vLaOYCNCzngDf8QdBg2V1,4,GBARL1401524
7GsoUeI9DtaTSjJHenyCNP,Alone,290066,FALSE,55,ALBUM,1LZEQNv7sE11VDY3SdxQeN,0URsHGo0BWzA5E84XG8B3m,1,GBAKW9700072
4p782fBH12AFlhNBz7x6pN,Both Sides Now,210440,FALSE,37,ALBUM,7mEIug7XUlQHikrFxjTWes,0D9jxLRpdhEG583Yqji2EJ,5,USMC16911924
